,modelo,km,color,precio,year
423,Model X ,0.0,rojo,117270.0,2024
424,Model X ,0.0,gris,118070.0,2024
425,Model X ,0.0,blanco,118070.0,2024
426,Model X ,92.0,blanco,118070.0,2024
427,Model X ,0.0,blanco,119620.0,2024
428,Model X ,0.0,negro,119670.0,2024
429,Model X ,0.0,gris,119670.0,2024
430,Model X ,0.0,rojo,120670.0,2024
431,Model X ,25.0,rojo,120720.0,2024
432,Model X ,29.0,blanco,120970.0,2024
433,Model X ,0.0,blanco,121870.0,2024
434,Model X ,0.0,negro,123670.0,2024
435,Model X ,0.0,rojo,126870.0,2024
436,Model X ,0.0,azul,52000.0,2018
437,Model X ,0.0,blanco,83500.0,2023
438,Model X ,0.0,negro,84000.0,2023
439,Model X ,0.0,negro,84500.0,2023
440,Model X ,0.0,negro,84500.0,2023
441,Model X ,0.0,negro,85500.0,2023
442,Model X ,0.0,gris,86500.0,2023
443,Model X ,0.0,blanco,87600.0,2023
444,Model Y ,5915.0,negro,39560.0,2024
445,Model Y ,2785.0,negro,40240.0,2024
446,Model Y ,3448.0,gris,40410.0,2024
447,Model Y ,2580.0,gris,40610.0,2024
448,Model Y ,0.0,blanco,40970.0,2024
449,Model Y ,6282.0,blanco,41290.0,2024
450,Model Y ,6998.0,azul,41390.0,2024
451,Model Y ,4891.0,negro,41810.0,2024
452,Model Y ,0.0,negro,42270.0,2024
453,Model Y ,0.0,azul,42270.0,2024
454,Model Y ,1317.0,blanco,42550.0,2024
455,Model Y ,5128.0,azul,42790.0,2024
456,Model Y ,5.0,blanco,42960.0,2024
457,Model Y ,18.0,gris,43450.0,2024
458,Model Y ,1011.0,rojo,43500.0,2024
459,Model Y ,0.0,rojo,43570.0,2024
460,Model Y ,0.0,blanco,44120.0,2024
461,Model Y ,0.0,azul,44370.0,2024
462,Model Y ,0.0,negro,44370.0,2024
463,Model Y ,0.0,blanco,44420.0,2024
464,Model Y ,7461.0,blanco,44740.0,2024
465,Model Y ,7085.0,blanco,44820.0,2024
466,Model Y ,0.0,gris,44920.0,2024
467,Model Y ,9230.0,blanco,44940.0,2024
468,Model Y ,11245.0,negro,45040.0,2024
469,Model Y ,16524.0,gris,45540.0,2024
470,Model Y ,7867.0,blanco,45580.0,2024
471,Model Y ,7753.0,blanco,45700.0,2024
